04-05-23	OG534					15:00	KEF	PRG	18:50	TFPPA
04-05-23	OG141					15:00	KEF	IAD	21:40	TFPPC
04-05-23	OG101					15:05	KEF	BWI	21:40	TFPLB
04-05-23	OG111					15:20	KEF	BOS	21:30	TFAEW
04-05-23	OG601					15:35	ALC	KEF	20:20	TFPLA
04-05-23	OG121					15:40	KEF	SWF	21:50	TFPPE
04-05-23	OG621					16:35	TFS	KEF	22:15	TFPPB
04-05-23	OG535					19:50	PRG	KEF	23:55	TFPPA
04-05-23	OG555					19:55	OPO	KEF	23:55	TFPPF
04-05-23	OG102					22:50	BWI	KEF	04:50	TFPLB
04-05-23	OG142					22:50	IAD	KEF	04:55	TFPPC
04-05-23	OG122					23:10	SWF	KEF	04:40	TFPPE
04-05-23	OG112					23:15	BOS	KEF	04:40	TFAEW
05-05-23	OG700					05:45	KEF	BER	09:20	TFPPA
05-05-23	OG880					06:00	KEF	DUB	08:35	TFPPE
05-05-23	OG400					06:00	KEF	CDG	09:30	TFAEW
05-05-23	OG980					06:10	KEF	ARN	09:25	TFPPB
05-05-23	OG900					06:20	KEF	CPH	09:30	TFPLA
05-05-23	OG800					06:30	KEF	STN	09:30	TFPPF
05-05-23	OG810					06:45	KEF	LPL	09:20	TFPPC
05-05-23	OG701					10:10	BER	KEF	13:55	TFPPA
05-05-23	OG981					10:25	ARN	KEF	13:50	TFPPB
05-05-23	OG901					10:30	CPH	KEF	13:50	TFPLA
05-05-23	OG401					10:30	CDG	KEF	14:05	TFAEW
05-05-23	OG881					10:35	DUB	KEF	13:15	TFPPE
05-05-23	OG801					10:35	STN	KEF	13:40	TFPPF
05-05-23	OG811					10:45	LPL	KEF	13:30	TFPPC
05-05-23	OG504					14:50	KEF	WAW	18:55	TFPPB
05-05-23	OG614					14:50	KEF	BCN	19:10	TFPLB
05-05-23	OG664					15:00	KEF	MAD	19:25	TFPPA
05-05-23	OG141					15:00	KEF	IAD	21:40	TFPPC
05-05-23	OG101					15:05	KEF	BWI	21:40	TFPLA
05-05-23	OG694					15:10	KEF	LIS	19:40	TFPPE
